"datasetX","datasetY","similarity","correlation","pValue","n"
"2.01.01.02.nabase","SP.POP.0612.TO.UN",0.000250179,0.223903330741764,0.00144069583359386,137
"2.01.01.02.nabase","SP.POP.0709.FE.UN",0.00174292,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0709.MA.UN",0.000561842,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0709.TO.UN",0.000177488,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0710.FE.UN",0.00243376,0.224508474878904,0.00139839034348271,137
"2.01.01.02.nabase","SP.POP.0710.MA.UN",0.00108074,0.224811046947474,0.00137766992851464,137
"2.01.01.02.nabase","SP.POP.0710.TO.UN",0.000237621,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0711.FE.UN",0.00234716,0.223600758673194,0.00146228810962913,137
"2.01.01.02.nabase","SP.POP.0711.MA.UN",0.00104233,0.223903330741764,0.00144069583359386,137
"2.01.01.02.nabase","SP.POP.0711.TO.UN",0.000229039,0.223903330741764,0.00144069583359386,137
"2.01.01.02.nabase","SP.POP.0712.FE.UN",0.00250211,0.223298186604624,0.00148417827172564,137
"2.01.01.02.nabase","SP.POP.0712.MA.UN",0.00111104,0.222693042467484,0.00152886708645591,137
"2.01.01.02.nabase","SP.POP.0712.TO.UN",0.000244399,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.0713.FE.UN",0.00241754,0.224508474878904,0.00139839034348271,137
"2.01.01.02.nabase","SP.POP.0713.MA.UN",0.00107355,0.222390470398914,0.00155167325482872,137
"2.01.01.02.nabase","SP.POP.0713.TO.UN",0.000236009,0.224205902810334,0.00141939778480854,137
"2.01.01.02.nabase","SP.POP.1014.FE.UN",0.00251231,0.222995614536054,0.00150637001804925,137
"2.01.01.02.nabase","SP.POP.1014.MA.UN",0.00111557,0.222402407301872,0.00155165356337701,137
"2.01.01.02.nabase","SP.POP.1014.TO.UN",0.000245421,0.222693042467484,0.00152886708645591,137
"2.01.01.02.nabase","SP.POP.1015.FE.UN",0.00249296,0.221180182124634,0.00164606590561012,137
"2.01.01.02.nabase","SP.POP.1015.MA.UN",0.00110699,0.221482754193204,0.00162198474610773,137
"2.01.01.02.nabase","SP.POP.1015.TO.UN",0.000243504,0.221785326261774,0.00159822820517513,137
"2.01.01.02.nabase","SP.POP.1016.FE.UN",0.00248931,0.220575037987495,0.00169521805493998,137
"2.01.01.02.nabase","SP.POP.1016.MA.UN",0.00110538,0.220877610056065,0.00167047566681521,137
"2.01.01.02.nabase","SP.POP.1016.TO.UN",0.000243137,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1017.FE.UN",0.00248224,0.218457033507505,0.00187807544316591,137
"2.01.01.02.nabase","SP.POP.1017.MA.UN",0.00110223,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1017.TO.UN",0.000242426,0.219667321781785,0.00177148187159259,137
"2.01.01.02.nabase","SP.POP.1018.FE.UN",0.0024825,0.217851889370365,0.00193355320303543,137
"2.01.01.02.nabase","SP.POP.1018.MA.UN",0.00110235,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1018.TO.UN",0.000242451,0.219364749713215,0.00179759587347716,137
"2.01.01.02.nabase","SP.POP.1115.FE.UN",0.00246393,0.221180182124634,0.00164606590561012,137
"2.01.01.02.nabase","SP.POP.1115.MA.UN",0.00109413,0.221180182124634,0.00164606590561012,137
"2.01.01.02.nabase","SP.POP.1115.TO.UN",0.000240609,0.220877610056065,0.00167047566681521,137
"2.01.01.02.nabase","SP.POP.1116.FE.UN",0.00248804,0.219364749713215,0.00179759587347716,137
"2.01.01.02.nabase","SP.POP.1116.MA.UN",0.00110481,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1116.TO.UN",0.000243015,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1117.FE.UN",0.00252938,0.217851889370365,0.00193355320303543,137
"2.01.01.02.nabase","SP.POP.1117.MA.UN",0.00112313,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1117.TO.UN",0.000247116,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1118.FE.UN",0.00254655,0.217851889370365,0.00193355320303543,137
"2.01.01.02.nabase","SP.POP.1118.MA.UN",0.00113075,0.218457033507505,0.00187807544316591,137
"2.01.01.02.nabase","SP.POP.1118.TO.UN",0.000248822,0.218759605576075,0.00185088835189178,137
"2.01.01.02.nabase","SP.POP.1215.FE.UN",0.00250428,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1215.MA.UN",0.00111201,0.219969893850355,0.00174571702532943,137
"2.01.01.02.nabase","SP.POP.1215.TO.UN",0.000244626,0.220272465918925,0.00172029713763401,137
"2.01.01.02.nabase","SP.POP.1216.FE.UN",0.00242077,0.219364749713215,0.00179759587347716,137
"2.01.01.02.nabase","SP.POP.1216.MA.UN",0.00107498,0.220272465918925,0.00172029713763401,137
"2.01.01.02.nabase","SP.POP.1216.TO.UN",0.000236325,0.219667321781785,0.00177148187159259,137
"2.01.01.02.nabase","SP.POP.1217.FE.UN",0.0024796,0.218457033507505,0.00187807544316591,137
"2.01.01.02.nabase","SP.POP.1217.MA.UN",0.00110107,0.219062177644645,0.00182406327187889,137
"2.01.01.02.nabase","SP.POP.1217.TO.UN",0.000242167,0.218759605576075,0.00185088835189178,137
"2.01.01.02.nabase","SP.POP.1218.FE.UN",0.00243447,0.217851889370365,0.00193355320303543,137
"2.01.01.02.nabase","SP.POP.1218.MA.UN",0.00108105,0.217549317301795,0.00196185275695202,137
"2.01.01.02.nabase","SP.POP.1218.TO.UN",0.000237691,0.217851889370365,0.00193355320303543,137
"2.01.01.02.nabase","SP.POP.1316.FE.UN",0.00251085,0.218457033507505,0.00187807544316591,137
"2.01.01.02.nabase","SP.POP.1316.MA.UN",0.00111492,0.219062177644645,0.00182406327187889,137
"2.01.01.02.nabase","SP.POP.1316.TO.UN",0.00024527,0.219062177644645,0.00182406327187889,137
"2.01.01.02.nabase","SP.POP.1317.FE.UN",0.00247473,0.217851889370365,0.00193355320303543,137
"2.01.01.02.nabase","SP.POP.1317.MA.UN",0.00109891,0.218759605576075,0.00185088835189178,137
"2.01.01.02.nabase","SP.POP.1317.TO.UN",0.000241684,0.217851889370365,0.00193355320303543,137
"2.01.01.02.nabase","SP.POP.1318.FE.UN",0.00245315,0.216641601096085,0.00204904839260888,137
"2.01.01.02.nabase","SP.POP.1318.MA.UN",0.00108935,0.216641601096085,0.00204904839260888,137
"2.01.01.02.nabase","SP.POP.1318.TO.UN",0.000239545,0.216641601096085,0.00204904839260888,137
"2.01.01.02.nabase","SP.POP.1319.FE.UN",0.00247697,0.216339029027515,0.00207889461144071,137
"2.01.01.02.nabase","SP.POP.1319.MA.UN",0.0010999,0.215733884890375,0.00213978668380711,137
"2.01.01.02.nabase","SP.POP.1319.TO.UN",0.000241904,0.215733884890375,0.00213978668380711,137
"2.01.01.02.nabase","SP.POP.1418.FE.UN",0.00238931,0.216944173164655,0.00201959577052289,137
"2.01.01.02.nabase","SP.POP.1418.MA.UN",0.00106104,0.216036456958945,0.00210913912617416,137
"2.01.01.02.nabase","SP.POP.1418.TO.UN",0.000233214,0.217851889370365,0.00193355320303543,137
"2.01.01.02.nabase","SP.POP.1419.FE.UN",0.00247595,0.215431312821805,0.0021708420795517,137
"2.01.01.02.nabase","SP.POP.1419.MA.UN",0.00109946,0.213313308341816,0.00240006241290906,137
"2.01.01.02.nabase","SP.POP.1419.TO.UN",0.000241809,0.216036456958945,0.00210913912617416,137
"2.01.01.02.nabase","SP.POP.1524.FE.UN",0.00238983,0.205749006627567,0.00341131560889112,137
"2.01.01.02.nabase","SP.POP.1524.MA.UN",0.00106126,0.203631002147577,0.00375699700300839,137
"2.01.01.02.nabase","SP.POP.1524.TO.UN",0.00023326,0.203025858010437,0.00386145125908672,137
"2.01.01.02.nabase","SP.POP.AG00.FE.IN",0.00775429,0.239773357187373,0.000454133861068812,145
"2.01.01.02.nabase","SP.POP.AG00.FE.UN",0.000373818,0.221482754193204,0.00162198474610773,137
"2.01.01.02.nabase","SP.POP.AG00.MA.IN",0.00860924,0.240004086029431,0.000453898354236565,145
"2.01.01.02.nabase","SP.POP.AG00.MA.UN",0.000873811,0.222087898330344,0.00157479234141668,137
"2.01.01.02.nabase","SP.POP.AG00.TO.UN",0.00166609,0.222087898330344,0.00157479234141668,137
"2.01.01.02.nabase","SP.POP.AG01.FE.IN",0.00416597,0.241334513810899,0.000421394194726432,145
"2.01.01.02.nabase","SP.POP.AG01.FE.UN",0.00423673,0.221482754193204,0.00162198474610773,137
"2.01.01.02.nabase","SP.POP.AG01.MA.IN",0.00505998,0.239494253193547,0.00046421396994286,145
"2.01.01.02.nabase","SP.POP.AG01.MA.UN",0.00295332,0.221180182124634,0.00164606590561012,137
"2.01.01.02.nabase","SP.POP.AG01.TO.UN",0.00216982,0.221482754193204,0.00162198474610773,137
"2.01.01.02.nabase","SP.POP.AG02.FE.IN",0.00416597,0.239361824600107,0.000471011396962505,145
"2.01.01.02.nabase","SP.POP.AG02.FE.UN",0.00245526,0.223298186604624,0.00148417827172564,137
"2.01.01.02.nabase","SP.POP.AG02.MA.IN",0.00505998,0.239845630102587,0.000457324767488394,145
