datasetX,datasetY,correlation,pValue,n
FP.CPI.TOTL.ZG,2.01.01.02.nabase,-0.0243319214192387,0.748223017990924,118
FP.CPI.TOTL.ZG,2.01.03.01.prcpbase,-0.0376690081727827,0.619242407282864,118
FP.CPI.TOTL.ZG,2.04.01.01.excncpt,0.041170852190517,0.587047058986383,118
FP.CPI.TOTL.ZG,2.1_PRE.PRIMARY.GER,0.545454545454545,0.0137707681978516,12
FP.CPI.TOTL.ZG,2.2_GIR,-0.0192628532132355,0.936254216358079,11
FP.CPI.TOTL.ZG,2.5_PCR,0.0256410256410256,0.952361907960866,13
FP.CPI.TOTL.ZG,3.01.04.01.agcen,0.0262883662645011,0.728747221736016,118
FP.CPI.TOTL.ZG,3.02.01.02.fscov,0.0913980577680645,0.227929127185355,118
FP.CPI.TOTL.ZG,3.11.01.01.popcen,0.0388884418355185,0.607943668770977,118
FP.CPI.TOTL.ZG,3.11.01.03.popreg,-0.154899584238535,0.0410114862794002,118
FP.CPI.TOTL.ZG,3.2_PRI.STUDENTS,0.256410256410256,0.251857610303791,13
FP.CPI.TOTL.ZG,3.3_PRI.TEACHERS,0.164835164835165,0.450563013306689,14
FP.CPI.TOTL.ZG,5.01.01.01.indust,-0.0514482973176999,0.497328718356457,118
FP.CPI.TOTL.ZG,5.04.01.01.exdebt,0.103371029039947,0.172675764072225,118
FP.CPI.TOTL.ZG,5.04.01.02.impexp,0.0365347479861636,0.629833412912129,118
FP.CPI.TOTL.ZG,5.12.01.01.unesco,-0.0357273683151181,0.637419022177185,118
FP.CPI.TOTL.ZG,5.13.01.01.hlthsurv,0.205315701770931,0.00429427981579189,118
FP.CPI.TOTL.ZG,5.13.01.01.who,0.0432618178111212,0.568200368442346,118
FP.CPI.TOTL.ZG,5.14.01.01.povsurv,0.132550474282364,0.0682704075814011,118
FP.CPI.TOTL.ZG,5.1_TOTAL.EDU.AID,0.27536231884058,0.0623210773400416,24
FP.CPI.TOTL.ZG,5.21.01.01.sdds,-0.0548599914171607,0.469246611595663,118
FP.CPI.TOTL.ZG,5.2_BASIC.EDU.AID,0.199414347205373,0.23395283347059,19
FP.CPI.TOTL.ZG,5.51.01.01.poverty,0.100346774425506,0.149501906805153,118
FP.CPI.TOTL.ZG,5.51.01.02.malnut,0.286430864980887,3.75776332353084e-05,118
FP.CPI.TOTL.ZG,5.51.01.03.mortal,0.067876269827609,0.370565631745196,118
FP.CPI.TOTL.ZG,5.51.01.04.immun,0.067876269827609,0.370565631745196,118
FP.CPI.TOTL.ZG,5.51.01.05.hiv,0.22366188309224,0.00317243010169355,118
FP.CPI.TOTL.ZG,5.51.01.06.matern,-0.100005377269827,0.164418745970632,118
FP.CPI.TOTL.ZG,5.51.01.07.gender,-0.0580586909257483,0.409500019102574,118
FP.CPI.TOTL.ZG,5.51.01.08.primcomp,-0.0199102531304224,0.779516430620995,118
FP.CPI.TOTL.ZG,5.51.01.09.water,0.107467211262788,0.156280540911685,118
FP.CPI.TOTL.ZG,5.51.01.10.gdp,-0.096004135651844,0.202825193927758,118
FP.CPI.TOTL.ZG,7.13_CURR.ALLOCATION.DISB,0.353596556870291,0.0793504289663685,14
