dataset,time
5.1.4_KHM.TOTA.AID.EC,1.83988857269287
5.1.4_LAO.TOTA.AID.DEU,1.79834938049316
5.1.4_MOZ.TOTA.AID.FIN,1.82825970649719
5.1.4_MWI.TOTA.AID.GIZ,1.79619121551514
5.1.4_NER.TOTA.AID.JAPAN,1.80606770515442
5.1.4_RWA.TOTA.AID.USAID,1.85997486114502
5.1.4_SEN.TOTA.AID.IT,1.74886250495911
5.1.4_SLE.TOTA.AID.JICA,1.79621553421021
5.1.5_BFA.TOTA.AID.JICA,1.82922267913818
5.1.5_CMR.TOTA.AID.UNESCO,1.76530122756958
5.1.5_ETH.TOTA.AID.EC,1.81021046638489
5.1.5_GHA.TOTA.AID.USAID,1.8246021270752
5.1.5_GNB.TOTA.AID.FR,1.77203774452209
5.1.5_KHM.TOTA.AID.JPN,1.82234501838684
5.1.5_LAO.TOTA.AID.GPE,1.79164838790894
5.1.5_MDG.TOTA.AID.NOR,1.78909969329834
5.1.5_MOZ.TOTA.AID.FLAND,1.86614227294922
5.1.5_MWI.TOTA.AID.GPE,1.73825812339783
5.1.5_NER.TOTA.AID.KFW,1.78828191757202
5.1.5_RWA.TOTA.AID.WB,1.82092881202698
5.1.5_SEN.TOTA.AID.UNICEF,1.73906564712524
5.1.5_ZMB.TOTA.AID.ZMB,1.79830741882324
5.1.6_BFA.TOTA.AID.NLD,1.79268574714661
5.1.6_ETH.TOTA.AID.FIN,1.76805210113525
5.1.6_GHA.TOTA.AID.WFP,1.81132173538208
5.1.6_GIN.TOTA.AID.ADPP.KFW,1.78295087814331
5.1.6_GNB.TOTA.AID.PORT,1.77037239074707
5.1.6_KHM.TOTA.AID.SWE,1.81470084190369
5.1.6_LAO.TOTA.AID.JICA,1.77339243888855
5.1.6_MDG.TOTA.AID.WFP,1.77004361152649
5.1.6_MOZ.TOTA.AID.DEU,1.82454466819763
5.1.6_MWI.TOTA.AID.JICA,1.7088668346405
5.1.6_NER.TOTA.AID.WFP,1.76738381385803
5.1.6_SEN.TOTA.AID.USAID,1.80330300331116
5.1.6_TJK.TOTA.AID.GPE,1.74225544929504
5.1.6_ZMB.TOTA.AID.UNICEF,1.76553440093994
5.1.7_AFG.TOTA.AID.JICA,1.77935576438904
5.1.7_CIV.TOTA.AID.UNICEF,1.72817611694336
5.1.7_GHA.TOTA.AID.WB,1.77914142608643
5.1.7_GNB.TOTA.AID.UNICEF,1.78028726577759
5.1.7_KHM.TOTA.AID.UNESCO,1.76232123374939
5.1.7_LAO.TOTA.AID.UNESCO,1.78705811500549
5.1.7_MOZ.TOTA.AID.GPE,1.7601044178009
5.1.7_MWI.TOTA.AID.KFW,1.75263667106628
5.1.7_SLE.TOTA.AID.WB,1.79703760147095
5.1.7_TJK.TOTA.AID.UNICEF,1.72990846633911
5.1.7_ZMB.TOTA.AID.USAID,1.76213455200195
5.1.8_AFG.TOTA.AID.NLD,1.78680229187012
5.1.8_BFA.TOTA.AID.EC,1.69541931152344
5.1.8_CIV.TOTA.AID.USAID,1.74601936340332
5.1.8_GNB.TOTA.AID.JAP,1.77713370323181
5.1.8_KHM.TOTA.AID.UNICEF,1.7027952671051
5.1.8_LAO.TOTA.AID.UNICEF,1.74553084373474
5.1.8_MDG.TOTA.AID.UNICEF,1.7722635269165
5.1.8_MOZ.TOTA.AID.IRL,1.71712946891785
5.1.8_MWI.TOTA.AID.UNICEF,1.7566089630127
5.1.8_NER.TOTA.AID.CHE,1.75689601898193
5.1.8_VNM.TOTA.AID.WB,1.71661186218262
5.1.9_AFG.TOTA.AID.NZL,1.74635863304138
5.1.9_ETH.TOTA.AID.ITA,1.74555778503418
5.1.9_KHM.TOTA.AID.USAID,1.72564721107483
5.1.9_LAO.TOTA.AID.WFP,1.7634449005127
5.1.9_MOZ.TOTA.AID.ITA,1.73408317565918
5.1.9_MWI.TOTA.AID.USAID,1.73823690414429
5.1.9_NER.TOTA.AID.LUX,1.76408910751343
5.1.9_TJK.TOTA.AID.WFP,1.72092270851135
5.12.01.01.unesco,38.7799603939056
5.13.01.01.hlthsurv,39.5890853404999
5.13.01.01.who,38.9736053943634
5.14.01.01.povsurv,38.6723403930664
5.1_TOTAL.EDU.AID,33.4049868583679
