"datasetX","datasetY","similarity","correlation","pValue","n"
"2.01.01.02.nabase","2.01.03.01.prcpbase",0.546684,0.179502506339166,0.0295289330434485,148
"2.01.01.02.nabase","3.11.01.03.popreg",0.0775619,0.244967876849961,0.00297724471205663,148
"2.01.01.02.nabase","5.51.01.02.malnut",0.0573796,0.208596589645117,0.00590920672006802,148
"2.01.01.02.nabase","BNCABFUNDCD_",0.0312869,0.222612810272053,0.00305768680321428,120
"2.01.01.02.nabase","DT.AMT.BLAT.CD",0.00198401,0.25495846385529,0.000693238653384652,120
"2.01.01.02.nabase","DT.AMT.MLAT.CD",0.00198401,0.1874981880983,0.0115310306081287,123
"2.01.01.02.nabase","DT.AMT.OFFT.CD",0.0169334,0.226951714652051,0.00223012079368895,123
"2.01.01.02.nabase","DT.DIS.DLXF.CD",0.0191539,0.155323584735048,0.0379562868714822,121
"2.01.01.02.nabase","DT.INT.BLAT.CD",0.00198401,0.203655253784735,0.00628543245649109,122
"2.01.01.02.nabase","DT.INT.OFFT.CD",0.0169334,0.187873935970241,0.011365916570919,123
"2.01.01.02.nabase","DT.INT.PROP.CD",0.00427575,0.203584412685265,0.0460720581231138,66
"2.01.01.02.nabase","FB.AST.NPER.ZS",0.0201531,0.294925725230098,0.00394359209565875,66
"2.01.01.02.nabase","IC.BUS.EASE.XQ",0.00608564,0.232507980258015,0.000660592737874705,145
"2.01.01.02.nabase","IC.CRD.PUBL.ZS",0.0139528,0.198141537057908,0.00687411255892996,145
"2.01.01.02.nabase","IC.ISV.DURS",0.000687888,0.202239986605969,0.00715463290150487,126
"2.01.01.02.nabase","IC.LGL.CRED.XQ",0.0363718,0.252792124518401,0.000457068016389783,145
"2.01.01.02.nabase","IC.LGL.DURS",0.00467275,0.261961462518387,0.000126748013058354,145
"2.01.01.02.nabase","IC.LGL.PROC",0.0151492,0.137823162309215,0.0486669120412708,145
"2.01.01.02.nabase","IC.REG.DURS",0.0171432,0.194869413057872,0.00461333101618536,145
"2.01.01.02.nabase","IC.REG.PROC",0.0096192,0.242065322466071,0.000675862134221901,145
"2.01.01.02.nabase","IC.TAX.DURS",0.0125132,0.184838918290282,0.00690061498434925,145
